Models,AUC,Recovery
L,0.736,ARC
L,0.744,ARC
L,0.746,ARC
L,0.805,ARC
L,0.718,ARC
L,0.752,ARC
L,0.687,ARC
L,0.736,ARC
L,0.75,ARC
L,0.85,ARC
L,0.764,ARC
L,0.486,ARC
N,0.73,ARC
N,0.75,ARC
N,0.785,ARC
N,0.875,ARC
N,0.775,ARC
N,0.69,ARC
N,0.618,ARC
N,0.774,ARC
N,0.883,ARC
N,0.831,ARC
N,0.805,ARC
N,0.794,ARC
F,0.759,ARC
F,0.952,ARC
F,0.785,ARC
F,0.799,ARC
F,0.715,ARC
F,0.672,ARC
F,0.781,ARC
F,0.714,ARC
F,0.88,ARC
F,0.743,ARC
F,0.68,ARC
F,0.722,ARC
L,0.716,Packages
L,0.8,Packages
L,0.817,Packages
L,0.767,Packages
L,0.831,Packages
L,0.775,Packages
L,0.75,Packages
L,0.935,Packages
L,0.77,Packages
L,0.785,Packages
L,0.75,Packages
L,0.863,Packages
N,0.793,Packages
N,0.781,Packages
N,0.755,Packages
N,0.791,Packages
N,0.931,Packages
N,0.823,Packages
N,0.802,Packages
N,0.948,Packages
N,0.849,Packages
N,0.873,Packages
N,0.875,Packages
N,0.824,Packages
F,0.781,Packages
F,0.772,Packages
F,0.739,Packages
F,0.805,Packages
F,0.918,Packages
F,0.8,Packages
F,0.823,Packages
F,0.935,Packages
F,0.834,Packages
F,0.746,Packages
F,0.85,Packages
F,0.881,Packages
